id,year,name,url
2009-route-estiva,2009,Route Estiva 2010 - Svizzera,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ep-7koJm3GdHhU1mz7lYoLcBY30hVl5wUmWPTmA9u42OYQ
2009-uscita,2009,Uscita Cuccioli_Cocci - La Famiglia Addams,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EosMkXVyggdOsEMNiY_zdY8Bn9eMswQd5Iq_94Eni0_hsA
2009-vvdbc,2009,Vacanze Di Branco Cerchio 2010 - Lagrimone (PR) - Percy Jackson,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EtNVNpJ1HNtNn1ESNCmIOPwBM_AIcyn54kcsoakqWW4oog
2010-caccia,2010,Caccia Ai Prati - Branco Giungla Di Mezzo - 9 Ottobre 2010,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EufY-9yYrXFMrdDK6mIPjIAB7eb1bjp6ABXAwT44PD8eiA
2010-campo-estivo,2010,Campo Estivo EG 2011 - Vermiglio (TN) - L'Ultimo Dei Mohicani,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhbZhlLrZRlEinnUZzCrjf4BGkp2InPtGo1XnMlnvnKmzg
2010-lancio,2010,Lancio Vacanze Di Branco Cerchio 2011,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EmLEPwEjxwhLv57_PcfKxPgB8quHr9DDXqcttKTAb4EJDg
2010-route-estiva,2010,Route Estiva Clan Noviziato 2011 - Val Ferret e Val Veny (AO),https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EqcDtYx4swZOrJ0i3MFLXQQBzX876bbAzmt3qozm77tFyA
2010-vvdbc,2010,Vacanze Di Branco Cerchio 2011 - Bardolino (VR) - Alice In Wonderland,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Es4EV_KFOKZDle0ThrZbfeIB4TgMUmul7sA5X2hUsYfDig
2011-attivita,2011,Attività Pc Di Alta Sq. - Maggio 2012,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EunMynBA4wBOoAsGDa5DAPgBxh52OEV_-_G9CZ2I_-1EcA
2011-campo-estivo,2011,Campo Estivo EG 2012 - Lavarone (TN) - Sherlok Holmes,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErjGgzulr6lHsF6cFTt-b60BoM8ErTXQB6OSZnz4u_WJHw
2011-campo-invernale,2011,Campo Invernale EG 2012 - Giarola (RE) - Alice In Wonderland,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EiCiwMvEaD1GkAy0bKjRlN4Bdk2xn9ZVpgSb92jr695s2w
2011-coca,2011,Co.Ca. Alla Marcia Della Pace 2011 - Perugia_Assisi,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhSimyPSc6dJnBqD3DW4TXgBD86tTWjRbpCVxgNqDCVrog
2011-festa,2011,Festa Di Primavera Per Cda Di Zona - Carpi - 9 Settembre 2012,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EioegcyitulErS_4JtpkOTYBcaOV2Y_96ZPpg-rWF00dPA
2011-route-estiva,2011,Route Estiva Clan 2012 - Via Francigena (Siena-Lucca),https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EkTajFU6vhVHleQlmm3Gwp4BVFp1NFtudcKxAvT6PSOvcA
2011-route-invernale,2011,Route Invernale Noviziato - Imola - Dicembre 2011,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EkXsuC9h1rFBgbiVETdGIG4BETOL2hbGfXr5AwjABl1gyg
2011-uscita,2011,Uscita Di Co.Ca. - Quarantoli - 10-11 Marzo 2012,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EvXnFRmQ94RFvQxWty3bsa0BuHECvloZoK2wNqIQoYMvSA
2011-volo,2011,Volo Regionale 2012 - Imola,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EmZuicjmqLZNq_JRo-ulAkoBc6AZQlTEVYP_1r135qcMyQ
2012-attivita,2012,Attività Lancio Logo Trentennale - Via Posta - 6 Aprile 2013,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eiq9bPxEb_pPjZX7Eo3H5_kBlldJiCDwvSyCmOtqZDlZAg
2012-campo,2012,Campo Di Gruppo 2013 - Cesclans (UD) - Il Signore Degli Anelli,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ei6-GI4YrBdEm7GCef14Cr0BGoWmxsiF2-2gtGnhoQkJHw
2012-festa,2012,Festa Di Primavera - Carpi - 1° Maggio 2013,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EuaCFyD_j9pKib3gmou97VYBUBk8ACGeO6_8nG_5dmZsoA
2012-partenze,2012,Partenze 2012-2013,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EnFbPbqoyThCpDtsCp6UfA4BtbVIECVd0JjESujV3L0eXw
2012-proiezione,2012,Proiezione Foto Campo 2013,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EqkmsPju90xGvlRrXoy7J0gBgnmVVTK-3sxQUcw21bHKdA
2012-raccolta,2012,Raccolta Anno 2012-13,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Er1VFHs2mUBOlHbMLPh92I4B9pKiuMuEMt95bMAIlKAkPg
2012-route-invernale,2012,Route Invernale Clan - Covvento Dell'Osservanza (BO) - 21-23 Dicembre 1013,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ei7hwzR42bxDjKvc0VJkmpUBVDeXa4m0FYpIQjydcEYm9w
